Event;Key;Time
Key Down;Left Alt;368
Key Down;Tab;433
Key Up;Left Alt;486
Key Up;Tab;516
Key Down;Retour arrière;3450
Key Up;Retour arrière;3511
Key Down;Retour arrière;3575
Key Up;Retour arrière;3626
Key Down;Retour arrière;3708
Key Up;Retour arrière;3754
Key Down;Retour arrière;3838
Key Up;Retour arrière;3884
Key Down;Retour arrière;4006
Key Up;Retour arrière;4069
Key Down;Retour arrière;4132
Key Up;Retour arrière;4186
Key Down;Retour arrière;4248
Key Up;Retour arrière;4294
Key Down;Echap;4395
Key Up;Echap;4482
Key Down;Entrée;5046
Key Up;Entrée;5110
Key Down;Left Shift;5252
Key Down;R;5488
Key Up;R;5577
Key Down;N;5652
Key Up;N;5717
Key Down;G;5903
Key Up;G;5982
Key Down;M;6104
Key Up;M;6200
Key Down;A;6329
Key Up;A;6442
Key Down;Retour arrière;6766
Key Up;Retour arrière;6805
Key Down;Retour arrière;6875
Key Up;Retour arrière;6932
Key Down;A;6981
Key Up;A;7077
Key Down;L;7115
Key Up;L;7174
Key Down;E;7237
Key Up;E;7297
Key Down;S;7405
Key Up;S;7453
Key Down;Retour arrière;7551
Key Up;Retour arrière;7596
Key Down;Retour arrière;7660
Key Up;Retour arrière;7715
Key Down;Retour arrière;7778
Key Up;Retour arrière;7856
Key Down;M;7967
Key Up;M;8063
Key Down;E;8065
Key Up;E;8130
Key Down;S;8208
Key Up;S;8329
Key Up;Left Shift;8435
Key Down;Entrée;8703
Key Up;Entrée;8757
Key Down;Left Alt;10208
Key Down;Tab;10274
Key Up;Left Alt;10363
Key Up;Tab;10393
Key Down;Left Alt;13308
Key Down;Tab;13348
Key Up;Tab;13455
Key Up;Left Alt;14613
Key Down;Left Alt;15022
Key Down;Tab;15092
Key Up;Left Alt;15149
Key Up;Tab;15181
Key Down;Echap;19445
Key Up;Echap;19535
Key Down;Left Alt;22110
Key Down;Tab;22198
Key Up;Tab;22278
Key Up;Left Alt;22296
Key Down;Left Alt;25916
Key Down;Tab;25982
Key Up;Left Alt;26058
Key Up;Tab;26084
Key Down;Left Alt;27939
Key Down;Tab;27980
Key Up;Left Alt;28036
Key Up;Tab;28078
